,Vectors,DOIs,Topics
433,"[-0.22259428 -0.14024605  0.6512037  -0.44897187 -0.18637586  0.73514587
  0.3597304   0.3228065  -2.1247404   0.5579648   1.3121833   0.6502113
  0.28600645 -0.12762444 -0.6992143  -0.623384    1.2721363   0.87135565
 -0.23488618  1.2510273  -0.01898665 -0.18524587 -0.02149813  1.1245335
  0.94702965  1.0575205   0.45936257  0.2682907   0.69395804 -1.6307771 ]",10.2967/jnumed.111.098947,"['Fluorodeoxyglucose F18', 'Humans', 'Medicaid', 'Medicare', 'Positron-Emission Tomography', 'Radiopharmaceuticals', 'United States', 'United States Food and Drug Administration']"
434,"[-0.19470672 -0.06748605  0.39888397 -0.19287598 -0.1363776   0.17123125
 -0.0056845   0.09883133 -0.62823755 -0.00761499  0.5031245   0.21167347
 -0.0722112  -0.01715662 -0.1071777  -0.3057206   0.4409992   0.42299595
 -0.23726647  0.42484656 -0.00990078 -0.15887669 -0.20710342  0.5133693
  0.20899507  0.4636027   0.11579775  0.23567624  0.44678065 -0.8136053 ]",10.1002/14651858.CD008586.pub2,"['Adult', 'Anticonvulsants', 'Brain Neoplasms', 'Drug Substitution', 'Humans', 'Levetiracetam', 'Phenytoin', 'Piracetam', 'Randomized Controlled Trials as Topic', 'Seizures']"
435,"[-0.3123205   0.03898068  0.7173535  -0.32952335 -0.13269563  0.90333706
  0.4054202   0.3148781  -2.186472    0.6995715   1.2609512   0.7146308
 -0.06146362 -0.5887843  -0.5382046  -0.9196214   1.0228567   0.4465877
 -0.42392734  0.95777166  0.31752202 -0.85997856  0.22485042  1.5598443
  0.97533417  1.3777133   0.20721418  0.21249372  0.8605105  -1.7456145 ]",10.1016/j.virol.2011.12.002,"['Amino Acid Sequence', 'Down-Regulation', 'Fluorescence Resonance Energy Transfer', 'Gastroenteritis', 'Genotype', 'Humans', 'Kinetics', 'Molecular Sequence Data', 'Norovirus', 'Norwalk virus', 'Oligopeptides', 'Peptide Hydrolases', 'Protease Inhibitors', 'Sequence Alignment', 'Viral Proteins']"
436,"[-0.33899096 -0.14169961  0.61912143 -0.35239714 -0.2126503   0.12407869
 -0.07160863  0.10397524 -0.47966605 -0.10153305  0.7734406   0.32330787
 -0.03611256  0.20399822 -0.02206728 -0.35404918  0.56574905  0.70441943
 -0.22315593  0.54735637 -0.08132184 -0.23920524 -0.34906867  0.62461054
  0.15391287  0.6887247   0.13290434  0.46428174  0.5926243  -0.9922456 ]",10.1177/0898264314533722,"['Age Distribution', 'Aged', 'Aged, 80 and over', 'Asian', 'Chicago', 'China', 'Cohort Studies', 'Female', 'Humans', 'Independent Living', 'Loneliness', 'Male', 'Middle Aged', 'Prevalence', 'Risk Factors', 'Sex Distribution']"
437,"[-0.20313405 -0.14573811  0.50883085 -0.40961304 -0.11030681  0.35787815
  0.34036896  0.26593295 -1.335328    0.3236295   0.8937247   0.51000357
  0.10283553  0.03198982 -0.4069729  -0.48329353  0.7568968   0.7201365
 -0.355331    0.7948136  -0.05441299  0.02998496 -0.3086934   0.723075
  0.6134621   0.7046884   0.3196878   0.10667492  0.50237083 -1.1581498 ]",10.1002/14651858.CD003267.pub2,"['Decision Making', 'Health Behavior', 'Humans', 'Medical Staff', 'Medicine', 'Nursing Staff', 'Patient Participation', 'Patient Satisfaction', 'Patient-Centered Care', 'Physician-Patient Relations', 'Randomized Controlled Trials as Topic']"
438,"[-0.29719415  0.41346171  0.89818686  0.52310705  0.5179212   1.520579
  0.37671953  0.23967569 -2.6779473   1.8138196   1.6229793   1.1407106
  0.61877155 -0.75683284 -1.4095463  -0.52497375  0.66160965  0.5503112
 -0.19456992  0.9969615  -0.8031718  -0.32444844  0.75204974  1.5666462
  0.9185334   1.93811     0.18345147  0.2781      1.1803863  -1.1115395 ]",10.1371/journal.pone.0111575,"['Animals', 'Annexin A5', 'Antineoplastic Agents', 'Apoptosis', 'Benzofurans', 'Carcinogenesis', 'Cell Adhesion', 'Cell Line, Tumor', 'Cell Movement', 'Cell Nucleus', 'Cell Proliferation', 'G1 Phase', 'Humans', 'Lichens', 'Mice, Inbred BALB C', 'Mice, Nude', 'Phosphorylation', 'Proto-Oncogene Proteins c-akt', 'Secondary Metabolism']"
439,"[-0.23019232 -0.29850814  0.43751794 -0.4264994  -0.11243674  0.07854405
 -0.0558014   0.21522363 -0.11900427 -0.2553777   0.83416206  0.40253323
 -0.07389882  0.3175352  -0.25366414 -0.23071368  0.44455993  0.6144251
  0.08160844  0.48208624  0.04824876  0.11175245 -0.14785954  0.50029874
  0.20234293  0.64493334  0.4447571   0.37971604  0.22708344 -0.78564644]",10.1177/0898264315571106,"['Aged', 'Aged, 80 and over', 'Chicago', 'Cross-Sectional Studies', 'Depression', 'Elder Abuse', 'Female', 'Humans', 'Male', 'Risk Factors', 'Urban Population']"
440,"[-0.12305998 -0.0588975   0.3274084  -0.08980073 -0.08704241  0.04118303
 -0.02335012  0.03410209 -0.31061473 -0.08068566  0.26532447  0.04571158
 -0.09162113 -0.01059211  0.00112495 -0.13363597  0.2736635   0.30243948
 -0.18396994  0.24378596 -0.09044135 -0.05098284 -0.24642344  0.26616466
  0.044799    0.2346989   0.01858651  0.19028892  0.27254072 -0.46593305]",10.1016/j.jpeds.2013.01.028,"['Health Personnel', 'Humans', 'Immunization', 'Risk Assessment']"
441,"[-0.14411367 -0.19744056  0.374045   -0.2859912  -0.07261213  0.20358495
  0.052476    0.20519044 -0.388335   -0.02889763  0.72164726  0.31648237
 -0.01925276  0.11486322 -0.23211709 -0.2462041   0.40271568  0.32318196
 -0.01205575  0.42344806  0.08098977  0.05524493 -0.01876489  0.5152589
  0.26081175  0.51567405  0.42572537  0.16120732  0.17427118 -0.7062921 ]",10.1177/0898264312467373,"['Aged', 'Chicago', 'Elder Abuse', 'Female', 'Humans', 'Independent Living', 'Male', 'Proportional Hazards Models', 'Prospective Studies', 'Risk Assessment', 'Risk Factors', 'Self Care', 'Social Work', 'Time Factors']"
442,"[-0.17212988 -0.05422045  0.3484807  -0.14899953 -0.10342516  0.24795158
  0.13237423  0.10122108 -0.7302244   0.15722886  0.4982237   0.26609898
  0.0127388  -0.09161138 -0.15314314 -0.31200197  0.43520632  0.3610265
 -0.27728462  0.42925295  0.03929697 -0.18206753 -0.13212556  0.50560737
  0.2635386   0.4890335   0.15133414  0.18215142  0.36623448 -0.80227375]",10.1007/s00404-012-2579-9,"['Adult', 'Clomiphene', 'Female', 'Fertility Agents, Female', 'Humans', 'Infertility, Female', 'Insemination, Artificial', 'Letrozole', 'Nitriles', 'Ovulation Induction', 'Pilot Projects', 'Pregnancy', 'Prospective Studies', 'Treatment Outcome', 'Triazoles']"
443,"[-0.3030687  -0.04082532  0.67013437 -0.2562907  -0.20872244  0.5099966
  0.22635533  0.22015846 -1.3116167   0.17673533  0.8795612   0.40135628
 -0.06621787 -0.17616735 -0.28685766 -0.6074419   0.7951473   0.700442
 -0.50226545  0.69706094 -0.01572319 -0.37776932 -0.2623102   0.87728524
  0.6130246   0.6545885   0.16170274  0.22254594  0.69410664 -1.22475   ]",10.7860/JCDR/2014/9624.4946,[]
444,"[-0.6074536  -0.21921752  0.6961096   0.20502499  0.01473355  0.98575556
  0.5128152   0.55723447 -2.7469602   1.0549284   1.0133052   0.67893016
 -0.30688146 -1.5358905  -0.58784616 -1.237115    0.43660915  0.14315549
 -0.57323265  0.78877044  0.71115    -1.3265513   0.21387233  1.4875298
  1.1992285   0.9132551   0.42194197 -0.30096346  1.2102075  -1.5154045 ]",10.1177/1535370213494558,"['Animals', 'Brain Injuries', 'Cell Hypoxia', 'Cell Proliferation', 'Cells, Cultured', 'Cerebral Ventricles', 'Ephrin-B3', 'Hypoxia-Inducible Factor 1, alpha Subunit', 'Male', 'Mice', 'Neural Stem Cells', 'Nitroimidazoles', 'Receptor, EphB3', 'Signal Transduction', 'Stem Cell Transplantation']"
445,"[-0.24030076 -0.00569159  0.47736028 -0.16272655 -0.14622794  0.3809136
  0.10819861  0.14649409 -0.96533626  0.23769717  0.66431284  0.2691425
 -0.06324061 -0.2112444  -0.2213563  -0.41376972  0.590836    0.39367616
 -0.30926102  0.5266312   0.12252869 -0.3292632  -0.08190196  0.70497555
  0.36408427  0.69994617  0.22961546  0.23742022  0.52773905 -1.0416191 ]",10.1007/s11095-015-1739-6,"['Amino Acids', 'Animals', 'Antibodies, Monoclonal', 'Antibodies, Monoclonal, Humanized', 'Buffers', 'Humans', 'Particle Size', 'Phase Transition', 'Salts', 'Scattering, Small Angle', 'Solutions', 'Viscosity', 'X-Ray Diffraction']"
446,"[-0.35524955 -0.03657387  0.64092934 -0.21142958 -0.21342932  0.37585115
  0.08961175  0.12770557 -1.1434346   0.14611971  0.78471583  0.3597573
 -0.13525632 -0.10102814 -0.16610378 -0.5370921   0.7431861   0.69473237
 -0.4612601   0.65610904 -0.01275906 -0.36998385 -0.27478388  0.86430407
  0.45858875  0.69816273  0.14088929  0.30908853  0.7616938  -1.296623  ]",10.1002/14651858.CD009950.pub3,"['Amines', 'Analgesics', 'Carbamazepine', 'Constipation', 'Cyclohexanecarboxylic Acids', 'Gabapentin', 'Guillain-Barre Syndrome', 'Humans', 'Immunoglobulins, Intravenous', 'Methylprednisolone', 'Nausea', 'Pain', 'Pain Measurement', 'Randomized Controlled Trials as Topic', 'gamma-Aminobutyric Acid']"
447,"[-0.04810169 -0.59290254  0.97896105 -1.1171712  -0.4595793   0.571339
  0.6434261   0.42749324 -1.7965724   0.38773814  1.5610781   1.0589889
  0.5232838   0.7102331  -0.68854326 -0.3718556   1.3464205   1.0369015
 -0.37236124  1.4631469   0.04369761  0.34736902  0.08590276  1.1534362
  1.4200358   1.4712281   0.8153244  -0.06031373  0.6309673  -1.5056286 ]",10.1016/j.jbi.2015.07.007,"['Delivery of Health Care', 'Environment', 'Humans', 'Medical Informatics', 'Virtual Reality']"
448,"[-0.20980178  0.26014173  0.8301865  -0.50455135  0.16708967  1.6902453
  0.2889584   0.04529099 -2.7360625   1.1997727   0.838554    0.44436556
  0.171688   -1.7175951  -0.65921247 -0.9228983   0.9920105  -0.37964818
 -0.5048435   0.3813373   0.5680218  -1.486346    0.09312294  1.7096431
  0.9739582   1.7284559   0.5938236   0.36138198  0.6930846  -2.2028263 ]",10.1111/ajt.13599,"['Adult', 'Blood Circulation', 'Brain Death', 'California', 'Female', 'Follow-Up Studies', 'Graft Rejection', 'Graft Survival', 'Humans', 'Incidence', 'Lung', 'Lung Diseases', 'Lung Transplantation', 'Male', 'Middle Aged', 'Postoperative Complications', 'Prognosis', 'Registries', 'Risk Factors', 'Tissue Donors', 'Tissue and Organ Procurement']"
449,"[-0.3616957  -0.16669422  0.77785563 -0.8599823  -0.1066759   0.7632633
  0.5877328   0.4220709  -1.8461014   0.49843046  1.4686451   0.918252
  0.19778462  0.14697324 -0.6864919  -0.7113943   1.0365021   0.8852879
 -0.3597175   1.4125267   0.06346032 -0.06902304 -0.03714625  1.2411983
  1.0492432   1.3133671   0.56666064  0.22719406  0.90437365 -1.9000235 ]",10.1016/j.pediatrneurol.2016.09.004,"['Animals', 'Brain', 'Cannabinoids', 'Cannabis', 'Fatal Outcome', 'Humans', 'Male', 'Marijuana Abuse', 'Middle Aged', 'Psychoses, Substance-Induced']"
450,"[-0.7443254  -0.17294517  0.99744445 -0.8228182  -0.56452894  0.657263
  0.5429179  -0.02946878 -2.7225182   1.3892081   0.6817318   0.4805802
 -0.78694206 -0.8412224  -1.1187243  -1.6751794   0.8715107   0.42448783
 -0.28648308  1.1349864   0.73184466 -1.2318192  -0.10132523  2.367027
  1.4681258   1.9235159   0.26935667 -0.2554482   2.0455625  -2.1420693 ]",10.1016/j.bbr.2017.07.043,"['Anemia, Iron-Deficiency', 'Animals', 'Animals, Newborn', 'Choline', 'Dietary Supplements', 'Female', 'Hippocampus', 'Iron', 'Male', 'Neurocognitive Disorders', 'Neuronal Plasticity', 'Pregnancy', 'Prenatal Exposure Delayed Effects', 'Rats', 'Rats, Sprague-Dawley']"
451,"[-0.13507202 -0.10636706  0.39295986 -0.1983632  -0.10360213  0.14931253
  0.03445875  0.1649586  -0.56636983  0.08445664  0.45355976  0.19777702
 -0.047826    0.02254437 -0.12195218 -0.2684985   0.42311835  0.34743297
 -0.1428165   0.43755275 -0.04134001 -0.09372288 -0.18240009  0.510232
  0.2693548   0.38417965  0.12372011  0.17311537  0.3745039  -0.6602937 ]",10.1371/journal.pntd.0004858,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Agglutination Tests', 'Animals', 'Antibodies, Bacterial', 'Cattle', 'Female', 'Humans', 'Leptospira', 'Leptospirosis', 'Logistic Models', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Risk Factors', 'Rural Population', 'Seroepidemiologic Studies', 'Serogroup', 'Uganda', 'Young Adult']"
452,"[-0.5254777   0.32285643  1.2034396  -0.19317046 -0.69667876  1.1694028
  0.30136853  0.08459098 -2.0606472   0.47901502  1.4595984   0.82293797
  0.71593094  0.33478662 -0.38020912 -1.0895149   1.6950643   0.34011453
 -0.9537158   0.8431734   0.8448941  -0.5981365   0.22960174  1.1503388
  0.85506684  1.5536883   0.9304463   0.11451752  1.2446098  -1.7946594 ]",10.1016/j.chemosphere.2016.06.047,"['Environmental Monitoring', 'India', 'Pharmaceutical Preparations', 'Seasons', 'Sewage', 'United States', 'Waste Disposal, Fluid', 'Wastewater', 'Water Pollutants, Chemical']"
453,"[-0.2575719  -0.10378508  0.6155808  -0.33151695 -0.26110554  0.38887206
  0.1766219   0.17977077 -1.2555331   0.3071434   0.87455505  0.38438296
 -0.02836045 -0.09830017 -0.26215792 -0.5749484   0.69351125  0.6893923
 -0.4657109   0.7199354   0.02002315 -0.33949524 -0.2055673   0.80548126
  0.5029954   0.74858     0.24420089  0.22622901  0.6788076  -1.3737643 ]",10.1002/14651858.CD007387.pub4,"['Drainage', 'Female', 'Genital Neoplasms, Female', 'Humans', 'Lymph Node Excision', 'Lymphocele', 'Pelvis', 'Randomized Controlled Trials as Topic', 'Retroperitoneal Space', 'Suction']"
454,"[-0.2014785  -0.09196173  0.5680285  -0.23875968 -0.17332613  0.29249185
  0.16836393  0.10380861 -0.9831947   0.18960406  0.78745043  0.31622195
  0.00805752  0.01248213 -0.15773818 -0.40910274  0.6208395   0.6452666
 -0.45348594  0.6238735  -0.06597912 -0.22795168 -0.33070683  0.6597281
  0.4143921   0.6363276   0.25858748  0.21073325  0.50881684 -1.1109481 ]",10.1002/14651858.CD011516.pub2,"['Anesthesia, Conduction', 'Anesthesia, Epidural', 'Apgar Score', 'Cesarean Section', 'Delivery, Obstetric', 'Female', 'Home Childbirth', 'Hospitalization', 'House Calls', 'Humans', 'Infant, Newborn', 'Labor, Obstetric', 'Midwifery', 'Parturition', 'Pregnancy', 'Randomized Controlled Trials as Topic', 'Telephone', 'Time Factors', 'Triage']"
455,"[-0.22087984 -0.12871651  0.52577543 -0.30574253 -0.16535988  0.5030752
  0.23732048  0.16378048 -1.1699355   0.3047999   0.8471581   0.428336
  0.077962   -0.08195993 -0.3355524  -0.46278068  0.69223     0.54398227
 -0.3409392   0.6786341   0.05175335 -0.20989259 -0.11376704  0.7996335
  0.5443888   0.80798566  0.3337243   0.17761159  0.5915698  -1.1638576 ]",10.1016/j.ajog.2017.07.024,"['Adult', 'Contraceptive Agents, Female', 'Cost-Benefit Analysis', 'Decision Trees', 'Endometrial Ablation Techniques', 'Female', 'Health Care Costs', 'Humans', 'Hysterectomy', 'Intrauterine Devices, Medicated', 'Levonorgestrel', 'Menorrhagia', 'Middle Aged', 'Quality of Life', 'Quality-Adjusted Life Years']"
456,"[ 0.5283861  -0.9590986   0.22769004 -0.53340846 -0.43602648  0.93130904
  1.6864005   0.30645835 -3.4519603   0.44685793  2.8402333   1.151555
  1.4082947  -1.2286848  -0.44117248  0.42650124 -0.07297205  2.3575974
 -2.040167    1.7043443  -0.01674641  0.64024806 -0.5770788   0.19295691
  1.1697755   1.1553291   1.0171883  -0.4269542   0.5191657  -1.2781147 ]",10.1177/1524838016663935,"['Abortion, Induced', 'Coercion', 'Contraception', 'Cross-Sectional Studies', 'Female', 'Humans', 'Intimate Partner Violence', 'Male', 'Personal Autonomy', 'Pregnancy', 'Pregnancy, Unplanned', 'Reproductive Rights', 'Sexual Behavior']"
457,"[-0.35843208  0.5229298   0.48432752  0.1430641   0.08706693  0.97585535
  0.13531595  0.4807463  -2.6575098   0.75553036  1.1659383   0.23127033
 -0.34118187 -1.1155826  -0.5676103  -1.2568707   1.0602481  -0.13619402
 -0.8333568   0.71002007  0.35110658 -1.3590201   0.56037915  2.1548548
  1.502631    1.148905    0.28211483  0.30278265  0.87335867 -1.6965299 ]",10.1371/journal.pntd.0005634,"['Adult', 'Animals', 'Antiretroviral Therapy, Highly Active', 'CD4 Lymphocyte Count', 'CD4-Positive T-Lymphocytes', 'Cohort Studies', 'Coinfection', 'Female', 'HIV Infections', 'Helminths', 'Hookworm Infections', 'Humans', 'Linear Models', 'Male', 'Rural Population', 'Uganda']"
458,"[-0.22093199 -0.22226636  0.55756515 -0.5276153  -0.19741379  0.5549547
  0.26554978  0.45401967 -1.3371276   0.2950676   1.1034771   0.52651066
  0.01596416  0.02969237 -0.40894634 -0.5455066   0.8337086   0.7380795
 -0.25972125  0.8624199   0.09023374 -0.01540291 -0.26539066  0.9964669
  0.72745425  0.87161577  0.42757913  0.1096173   0.63538927 -1.341933  ]",10.1093/eurheartj/ehw151,"['Acute Disease', 'Air Pollutants', 'Air Pollution', 'Climate', 'Climate Change', 'Cold Temperature', 'Environmental Exposure', 'Humans', 'Myocardial Infarction', 'Public Health', 'Risk Factors']"
459,"[-0.6849048  -0.22996536  0.9800021   0.21010864  0.26509655  1.0209969
  0.15070409  0.71323884 -2.6176562   1.3778106   1.3529042   0.6719147
  0.02325864 -0.88242775 -0.6228894  -1.1597762   0.59973025  0.41669098
 -0.79280925  1.0139912  -0.08315944 -0.7186072   0.23082101  1.8616679
  1.1651123   1.3289938   0.24412319 -0.02948409  1.3140851  -1.5937303 ]",10.1172/jci.insight.93411,[]
460,"[-0.15953422 -0.14078768  0.39434895 -0.2461833  -0.16623557  0.05367121
 -0.03670114  0.06013572 -0.26686174 -0.11413447  0.54083973  0.21564223
 -0.02934265  0.17561467 -0.02185282 -0.19493084  0.42016923  0.41296315
 -0.09029593  0.31310934 -0.06311326 -0.09339625 -0.2122714   0.45025995
  0.03577078  0.501443    0.18931207  0.31309292  0.34092477 -0.61492354]",10.1177/0898264316661829,"['Aged', 'Aged, 80 and over', 'Asian', 'Chicago', 'Female', 'Health Status', 'Humans', 'Logistic Models', 'Male', 'Mental Health', 'Middle Aged', 'Residence Characteristics', 'Self Report']"
461,"[-0.05959203 -0.45574927  0.21363762 -0.10390995  0.03628432  1.056807
  1.3107957   1.0120943  -3.3360257   1.6872691   0.85535675  0.8347918
  0.31738016 -1.4838421  -0.61867434 -1.9126248   0.8831102   0.11966261
 -0.5180513   0.9413896   0.92623556  0.04183212 -0.7958218   0.54613423
  0.47298482  1.13969     1.3843704   0.05825636  0.54171103 -1.9591408 ]",10.1080/08964289.2017.1375455,"['Adult', 'Case-Control Studies', 'Communication', 'Female', 'Health Knowledge, Attitudes, Practice', 'Health Personnel', 'Humans', 'Insurance Coverage', 'Insurance, Health', 'Male', 'Middle Aged', 'Smoking Cessation', 'Young Adult']"
462,"[-0.22626567  0.03958805  0.34826288 -0.03271127 -0.08352791  0.38950834
  0.10718986  0.23087162 -1.1174409   0.26694277  0.5876368   0.12517084
 -0.10981305 -0.3664506  -0.19878648 -0.5106193   0.5534612   0.28105426
 -0.36973685  0.47200644  0.15791832 -0.46410203 -0.05492988  0.79629856
  0.39989045  0.51907027  0.09151931  0.13767363  0.4659947  -0.91769165]",10.1002/ejhf.1091,"['Aged', 'Cause of Death', 'Echocardiography', 'Female', 'Follow-Up Studies', 'Heart Failure', 'Heart Ventricles', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Prognosis', 'Prospective Studies', 'Risk Assessment', 'Stroke Volume', 'Survival Rate', 'United States']"
463,"[-0.13327311 -0.23632394  0.57396257 -0.53839296  0.08957513  1.1791582
  0.5816242   0.30175778 -1.9517266   0.6332715   1.5637412   0.4490446
  0.05562158 -0.10259865 -0.8524753  -0.8145523   1.5223246   0.9440508
 -0.51273906  1.0473899   0.09550261 -0.14557609  0.09091814  1.2513928
  0.93249136  1.4150038   0.9675607   0.23428668  0.5820507  -2.283679  ]",10.1111/adb.12511,"['Adult', 'Alcoholism', 'Behavior', 'Craving', 'Female', 'Humans', 'Male', 'Middle Aged', 'Motivation', 'Stress, Psychological', 'Young Adult']"
464,"[-0.1076689  -0.21666183  0.6170784  -0.5266968  -0.168661    0.55345684
  0.38344193  0.45045358 -1.8392872   0.60827863  1.1810943   0.7949586
  0.00737752  0.5057394  -0.51172894 -0.7745866   1.1575812   0.9229946
 -0.38555557  1.2190235  -0.13894612 -0.04673436 -0.00432049  1.1725996
  0.8634615   0.89478093  0.3100187   0.12209859  0.81745934 -1.5831996 ]",10.1200/JOP.2017.020909,"['Anemia, Sickle Cell', 'Carcinoma, Medullary', 'Humans', 'Kidney Neoplasms', 'Practice Guidelines as Topic', 'Registries']"
465,"[-0.62324405 -0.48200968  0.90409815 -0.5442296  -0.06254916  0.33353847
  0.5226123   0.3803834  -2.0275476   0.969896    1.0534285   1.0336033
  0.2431649   0.27420393 -0.78370345 -0.8357846   0.8750692   0.87641454
 -0.425002    1.1098516  -0.10135212 -0.56700504 -0.07248537  1.3338488
  0.9456046   1.2854697   0.0606792   0.14861515  1.0488534  -1.9148134 ]",10.1097/CJI.0000000000000212,"['Animals', 'Cancer Vaccines', 'Chemokine CCL20', 'Cytokines', 'Dendritic Cells', 'Disease Models, Animal', 'Female', 'Immunotherapy', 'Interferon Type I', 'Interleukin-10', 'Lymphocytes, Tumor-Infiltrating', 'Melanoma, Experimental', 'Mice', 'Mice, Knockout', 'Treatment Outcome', 'Vaccination', 'gp100 Melanoma Antigen']"
466,"[-0.2672752  -0.11202733  0.47262996 -0.2165849  -0.10326385  0.30036992
  0.05887925  0.17623135 -0.76769364  0.1433759   0.572806    0.20407254
 -0.07317086 -0.09491088 -0.09448007 -0.3958963   0.5098146   0.43656677
 -0.26817694  0.4801031   0.03043885 -0.25570905 -0.23502499  0.5935725
  0.34918714  0.5433982   0.1578983   0.19887984  0.5390941  -0.9275428 ]",10.1513/AnnalsATS.201707-571OC,"['Atherosclerosis', 'Cross-Sectional Studies', 'Diet', 'Female', 'Follow-Up Studies', 'Forced Expiratory Volume', 'Humans', 'Lung', 'Male', 'Middle Aged', 'Morbidity', 'Pulmonary Disease, Chronic Obstructive', 'Retrospective Studies', 'Risk Factors', 'Survival Rate', 'United States', 'Vital Capacity']"
467,"[-0.00356142 -0.00797756  0.34280977 -0.35779282 -0.43149796  0.55961996
  0.5805304   0.27578261 -1.7736769   0.82076496  1.368231    0.58504295
  0.2782488   0.18634453 -0.7643413  -0.7526824   0.96322304  0.76067007
 -0.6820283   1.0698613   0.382337   -0.28008235 -0.13914841  1.0144924
  0.91336036  1.2931254   0.49106207  0.0715712   0.48659992 -1.6439558 ]",10.1177/0956462418755224,"['Adolescent', 'Adult', 'Anti-HIV Agents', 'Black People', 'Focus Groups', 'HIV Infections', 'Health Knowledge, Attitudes, Practice', 'Homosexuality, Male', 'Humans', 'London', 'Male', 'Middle Aged', 'Patient Acceptance of Health Care', 'Patient Preference', 'Pre-Exposure Prophylaxis', 'Qualitative Research', 'Young Adult']"
468,"[-0.35517734 -0.0141041   0.44260865 -0.06195497 -0.09153571  0.31013262
 -0.06613125  0.20279844 -0.6587608   0.00573649  0.46083316  0.07326216
 -0.22172852 -0.3075899   0.00819309 -0.38782138  0.46374035  0.4486154
 -0.31491566  0.35852626  0.14640889 -0.40422532 -0.21652831  0.6382813
  0.09877013  0.390275    0.0131313   0.28251404  0.49822003 -0.871902  ]",10.1161/CIRCIMAGING.117.007241,"['Aged', 'Aged, 80 and over', 'Atherosclerosis', 'Cross-Sectional Studies', 'Ethnicity', 'Female', 'Follow-Up Studies', 'Humans', 'Incidence', 'Liver', 'Liver Cirrhosis', 'Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Population Surveillance', 'Prospective Studies', 'Risk Factors', 'United States']"
469,"[-0.24427801  0.03488698  0.44337282 -0.33454317 -0.24285112  0.6047605
  0.32280412  0.2749983  -1.8900957   0.6258914   1.0596192   0.51405585
 -0.06176576 -0.4143214  -0.55818254 -0.77987134  1.0507355   0.4149271
 -0.34345746  0.81170255  0.14442693 -0.6080292  -0.03106931  1.1454399
  0.8683184   1.0849639   0.20446077  0.13521492  0.8408363  -1.4356352 ]",10.1093/cid/cix943,"['Antibodies, Bacterial', 'Antigens, Bacterial', 'Bacterial Proteins', 'Borrelia burgdorferi', 'Enzyme-Linked Immunosorbent Assay', 'Europe', 'Humans', 'Immunoenzyme Techniques', 'Immunoglobulin G', 'Immunoglobulin M', 'Lyme Disease', 'Recombinant Proteins', 'Sensitivity and Specificity', 'Serologic Tests', 'United States']"
470,"[-0.12769257 -0.06617785  0.24318765 -0.02757956 -0.03588907  0.12612182
 -0.04422667  0.08043696 -0.3044312  -0.01418104  0.2424235   0.05354045
 -0.04703341 -0.08168876  0.00436624 -0.14305468  0.16497335  0.24093455
 -0.1470172   0.18273146 -0.03451441 -0.05686631 -0.1476603   0.25430343
  0.04693928  0.21808363  0.04466511  0.15327181  0.22216898 -0.39928856]",10.1158/1055-9965.EPI-17-0696,"['Aged', 'Atherosclerosis', 'Cohort Studies', 'Epidemiological Monitoring', 'Female', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Neoplasms', 'Registries', 'Risk Factors', 'United States']"
471,"[-0.20239106  0.02401623  0.25375995  0.0445149  -0.0229423   0.31268343
 -0.05734359  0.19673069 -0.66317225  0.09332534  0.3529331  -0.04312278
 -0.1352514  -0.40629473 -0.05714813 -0.3427906   0.35312533  0.22233294
 -0.15798052  0.23796928  0.1820667  -0.2406047  -0.11796681  0.5740669
  0.16039816  0.2686407   0.08750457  0.15832116  0.31989485 -0.6233245 ]",10.1002/pds.4393,"['Aged', 'Aged, 80 and over', 'Atherosclerosis', 'Cholesterol, HDL', 'Cholesterol, LDL', 'Coronary Disease', 'Ethnicity', 'Female', 'Follow-Up Studies', 'Humans', 'Hydroxymethylglutaryl-CoA Reductase Inhibitors', 'Lipid Metabolism', 'Male', 'Metabolic Networks and Pathways', 'Middle Aged', 'Prospective Studies', 'Risk Factors', 'Treatment Outcome', 'Triglycerides', 'United States']"
472,"[-0.5013373  -0.23764597  0.28170475 -0.6487494   0.03024286  0.33122241
  0.994174    0.29004806 -1.3243151   1.1059643   1.087617    1.3779867
  0.5291374  -0.22780256 -1.1268654  -1.1664741   0.9339137   0.20969114
 -0.05292358  1.2215936  -0.010358   -0.02987467  0.49726558  1.4938413
  1.6389707   1.1960849   0.22214529 -0.30404007  1.0218992  -1.3609071 ]",10.1038/s41388-018-0162-y,"['Animals', 'Cell Line, Tumor', 'Cell Proliferation', 'Databases, Genetic', 'Epithelial-Mesenchymal Transition', 'Feedback, Physiological', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Lung Neoplasms', 'Mice', 'MicroRNAs', 'NADPH Oxidases', 'NF-kappa B', 'Neoplasm Transplantation', 'Prognosis', 'Promoter Regions, Genetic', 'RNA, Long Noncoding', 'Signal Transduction', 'Stomach Neoplasms', 'Survival Analysis']"
